sNoPlace,nLongitude,nLatitude,nPositionCentreLongitude,nPositionCentreLatitude,sStatut,sGenre,sType,sAutreTete,sNomRue,nSupVelo,sTypeExploitation,nTarifHoraire,sLocalisation,nTarifMax
PM528,-73.60408034,45.52513348,-73.60412331,45.52511976,1,NORMAL,Double,PM529,Bernard,1,Régulier Payez-Partez,300,S,
PM529,-73.60408034,45.52513348,-73.60408439,45.52516345,1,NORMAL,Double,PM528,Bernard,1,Régulier Payez-Partez,300,S,
PM532,-73.60398912,45.52523215,-73.6039924,45.52526063,1,NORMAL,Simple,,Bernard,1,Régulier Payez-Partez,300,S,
PM533,-73.60390976,45.52531827,-73.60395217,45.52530579,1,NORMAL,Double,PM534,Bernard,1,Régulier Payez-Partez,300,S,
PM534,-73.60390976,45.52531827,-73.60391194,45.52535096,1,NORMAL,Double,PM533,Bernard,1,Régulier Payez-Partez,300,S,
PM540,-73.60370528,45.52581483,-73.60370044,45.52578216,1,NORMAL,Double,PM541,Bernard,1,Régulier Payez-Partez,300,S,
PM541,-73.60370528,45.52581483,-73.60365805,45.52582784,1,NORMAL,Double,PM540,Bernard,1,Régulier Payez-Partez,300,S,
PM542,-73.60364084,45.52588594,-73.60361889,45.52587003,1,NORMAL,Simple,,Bernard,1,Régulier Payez-Partez,300,S,
PM544,-73.60358169,45.52594626,-73.60354715,45.52594733,1,NORMAL,Simple,,Bernard,1,Régulier Payez-Partez,300,S,
PM545,-73.6035127,45.526021,-73.60350957,45.52598782,1,NORMAL,Double,PM546,Bernard,1,Régulier Payez-Partez,300,S,
PM546,-73.6035127,45.526021,-73.60347115,45.52602921,1,NORMAL,Double,PM545,Bernard,1,Régulier Payez-Partez,300,S,
PM551,-73.60356865,45.52568471,-73.60360578,45.5256758,1,NORMAL,Simple,,Bernard,1,Régulier Payez-Partez,300,S,
PM564,-73.60315945,45.52640245,-73.60315398,45.52637457,1,NORMAL,Double,PM565,Bernard,1,Régulier Payez-Partez,300,S,
PM565,-73.60315945,45.52640245,-73.60311486,45.52641671,1,NORMAL,Double,PM564,Bernard,1,Régulier Payez-Partez,300,S,
PM566,-73.60310584,45.52646086,-73.60307695,45.52645756,1,NORMAL,Simple,,Bernard,1,Régulier Payez-Partez,300,S,
PM568,-73.60300758,45.52656881,-73.6029922,45.52654887,1,NORMAL,Simple,,Bernard,1,Régulier Payez-Partez,300,S,
PM569,-73.60295759,45.52662318,-73.60295352,45.52659054,1,NORMAL,Double,PM570,Bernard,1,Régulier Payez-Partez,300,S,
PM570,-73.60295759,45.52662318,-73.60291484,45.52663222,1,NORMAL,Double,PM569,Bernard,1,Régulier Payez-Partez,300,S,
PM576,-73.60300386,45.52628797,-73.60301526,45.5263137,1,NORMAL,Simple,,Bernard,1,Régulier Payez-Partez,300,S,
PM577,-73.60293165,45.5263679,-73.60297712,45.52635479,1,NORMAL,Double,PM578,Bernard,1,Régulier Payez-Partez,300,S,
PM578,-73.60293165,45.5263679,-73.60293765,45.52639732,1,NORMAL,Double,PM577,Bernard,1,Régulier Payez-Partez,300,S,
